Nama Makanan,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Resep,Harga,Alergi Telur,Alergi Kacang,Alergi Kedelai,Alergi Seafood,Alergi udang,Alergi susu
Bakut Masak Tauco (Babi Pongteh a la Nat),"1  kg Pork Ribs (saya pakai ribs tulang lunak)
10 butir Telur Rebus (kupas kulit) - OPTIONAL
6 siung Bawang Merah (cincang kasar)
2 ruas Jahe (geprek, iris tipis) - boleh pakai lebih banyak sesuai selera
1 tbsp Doubanjiang (Chili Bean Sauce merk Fu Chi) - OPTIONAL
5 tbsp Tauco Asin (saya pakai merk Kokita)
Secukupnya Air Mendidih
Secukupnya Minyak untuk menumis
Bumbu Halus :
7 siung Bawang Putih
(Kalau tidak suka texture kacang dr tauco, boleh di haluskan jg bersama bawang putih ya tauco nya)
Bahan Cemplung :
2 pcs Daun Salam
1/2 pc Star Anise (bunga lawang)
1/4 batang Cinnamon (kayu manis batang)
Bumbu :
Sedikit Garam (jangan terlalu banyak krn tauco sudah asin)
5 tbsp Shaoxing Wine / Angciu (banyak disesuaikan)
2 tbsp Dark Soy Sauce (untuk warna gelap)
2 tbsp Kecap Ikan
2 tbsp Kecap Asin (cap Angsa)
2 tbsp Kecap Manis
2 tsp Merica Bubuk
1 tbsp Vetsin HK / Totole
Secukupnya Gula Merah Jawa / Palm Sugar (manis disesuaikan dengan selera ya, kalau saya pakai kurang lebih 1/2 bulatan)","Pork, Ribs, (saya, pakai, ribs, tulang, lunak), Telur, Rebus, (kupas, kulit), -, OPTIONAL, Bawang, Merah, (cincang, kasar), Jahe, (geprek,, tipis), -, boleh, pakai, lebih, banyak, sesuai, selera, tbsp, Doubanjiang, (Chili, Bean, Sauce, merk, Fu, Chi), -, OPTIONAL, tbsp, Tauco, Asin, (saya, pakai, merk, Kokita), Air, Mendidih, Minyak, untuk, menumis, Bumbu, :, Bawang, Putih, (Kalau, tidak, suka, texture, kacang, dr, tauco,, boleh, di, haluskan, jg, bersama, bawang, putih, ya, tauco, nya), Bahan, Cemplung, :, pcs, Daun, Salam, /, pc, Star, Anise, (bunga, lawang), /, batang, Cinnamon, (kayu, manis, batang), Bumbu, :, Garam, (jangan, terlalu, banyak, krn, tauco, sudah, asin), tbsp, Shaoxing, Wine, /, Angciu, (banyak, disesuaikan), tbsp, Dark, Soy, Sauce, (untuk, warna, gelap), tbsp, Kecap, Ikan, tbsp, Kecap, Asin, (cap, Angsa), tbsp, Kecap, Manis, tsp, Merica, Bubuk, tbsp, Vetsin, HK, /, Totole, Gula, Merah, Jawa, /, Palm, Sugar, (manis, disesuaikan, dengan, selera, ya,, kalau, saya, pakai, kurang, lebih, /, bulatan)",400,20,15,40,0,"Langkah 1
Panaskan secukupnya minyak dalam wajan. Tumis sebentar bahan cemplung, lalu masukkan jahe, bawang merah dan doubanjiang beserta tauco juga bawang putih halus. Tumis sampai wangi dan bawang layu.
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 1 foto
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 1 foto
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 1 foto
Langkah 2
Lalu masukkan gula merah. Aduk2 sampai gula tercampur rata.
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 2 foto
Langkah 3
Lalu masukkan pork ribs, aduk2 sampai berubah warna. Siram dengan Angciu lalu beri sisa bumbu2. Aduk2 sampai mendidih dan wangi. Hati2 jangan sampai gosong ya. Mainkan besar kecil nya api saat memasak.
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 3 foto
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 3 foto
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 3 foto
Langkah 4
Pindahkan semua tumisan ke dalam panci berisi air mendidih. Buang daun salam nya. JANGAN LUPA TEST RASA! Jangan terlalu asin krn air akan sedikit menyusut.
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 4 foto
Langkah 5
Lalu masak di api sedang ke kecil sampai daging setengah empuk. Setelah setengah empuk, masukkan telur rebus. Masak lg di api kecil sampai warna menyerap pd telur dan daging empuk. Angkat dan sajikan.
Bakut Masak Tauco (Babi Pongteh a la Nat) langkah memasak 5 foto
Langkah 6
NOTE PENTING : banyak nya air disesuaikan dengan selera masing2 ya. Kalau saya pakai lumayan banyak krn suka kuah, kalau tdk suka terlalu berkuah dan ingin agak kental, banyak nya pemakaian bumbu2 jg dikurangi ya agar tidak terlalu asin.",,1,1,1,1,1,0
Pork Steam Tofu,"1 Tahu (Tahu Cina/Sutra)
200 gr Babi cincang (bisa diganti daging sapi cincang)
Jamur (opsional)
Bawang putih cincang
Saus tiram
Kecap manis
Kecap asin
Garam
Merica
Kaldu Jamur
Gula
Minyak Wijen
Daun bawang","Tahu, (Tahu, Cina/Sutra), Babi, cincang, (bisa, diganti, daging, sapi, cincang), Jamur, (opsional), Bawang, putih, cincang, Saus, tiram, Kecap, manis, Kecap, asin, Garam, Merica, Kaldu, Jamur, Gula, Minyak, Wijen, Daun, bawang",200,15,10,10,0,"Langkah 1
Kukus tahu selama 10-15 menit
Langkah 2
Tumis bawang putih pada minyak hingga harum, masukkan daging sampai berubah warna dan mengeluarkan sedikit air, masukkan jamur diikuti kecap asin, kecap manis, saus tiram, merica, garam, gula, kaldu jamur dan sedikit air. Cicipi, koreksi rasa, kentalkan dengan maizena dan tambahkan sedikit daun bawang
Pork Steam Tofu langkah memasak 2 foto
Langkah 3
Angkat tahu yang sudah dikukus, buang air yang keluar dari kukusan tahu, tuang daging diatas tahu, dan siap disajikan
Pork Steam Tofu langkah memasak 3 foto",,0,0,1,0,0,0
abi Kecap (masakan batak),"00 gr daging babi (saya pakai daging utk panggang)
2 batang daun bawang
Minyak secukupnya untuk menumis
1 bungkus kecil kecap bango 14ml
500 ml air
1,5 sdt garam (bisa ditambah/kurang sesuai selera)
Bumbu halus :
3 siung bawang putih
4 buah bawang merah
9 buah cabai rawit merah
3 butir kemiri
1 sdt merica butir
3 sdt ketumbar butir
1 buah kayu manis (sedikit saja)
1/4 buah pala (sedikit saja)","daging, babi, (saya, pakai, daging, utk, panggang), batang, daun, bawang, Minyak, untuk, menumis, bungkus, kecil, kecap, bango, ml, ml, air, ,, garam, (bisa, ditambah/kurang, sesuai, selera), Bumbu, :, bawang, putih, bawang, merah, cabai, rawit, merah, kemiri, merica, ketumbar, kayu, manis, (sedikit, saja), /, pala, (sedikit, saja)",300,20,15,20,0,"Langkah 1
Cuci bersih daging, potong sesuai selera
Langkah 2
Potong2 daun bawang sesuai selera
Langkah 3
Tumis bumbu halus sampai harum, masukkan daging & aduk rata, tambahkan air, masukkan kayu manis, pala, kecap, garam
Langkah 4
Masak dengan api kecil, tutup sampai air menyusut & mengental, tambahkan daun bawang, aduk, tes rasa. Siap sajikan",,0,0,1,0,0,0
Daging Maling balut Telur,"1 kaleng daging maling
2 butir telur
Kaldu bubuk","kaleng, daging, maling, telur, Kaldu, bubuk",400,20,20,30,0,"Langkah 1
Potong daging maling sesuai selera ya bund.
Kocok lepas 2 butir telur, tambahkan sedikit kaldu bubuk.
Langkah 2
Baluri daging maling menggunakan telur.
Goreng di minyak panas, lalu tiriskan.
Mudah banget kan bund😁
Daging Maling balut Telur langkah memasak 2 foto",,1,0,0,0,0,0
Samcan ala Papi,"
2 bongkah samcan
5 bh jamur merang (direndam air panas 2 jam)
2 bongkah bawang putih (blender)
4 sdm hebi dan juhi(blender)
Secukupnya kecap asin, kecap manis dan saus tiram
1 sdm gumer","bongkah, samcan, jamur, merang, (direndam, air, panas, jam), bongkah, bawang, putih, (blender), hebi, dan, juhi(blender), kecap, asin,, kecap, manis, dan, saus, tiram, gumer",300,20,15,20,0,"Langkah 1
Goreng hebi dan juhi
Langkah 2
Tumis bawang putih, masukan ebi, jamur dan samcan yg sudah dipotong
Langkah 3
Masukan kecap asin, kecap manis, kecap ikan, saus tiram dan gumer
Langkah 4
Aduk2 tambahkan air
Langkah 5
Masukan pressure cooker selama 20 menit, sajikan",,0,0,1,0,1,0
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos,"1 buah galantin
1 buah bawang bombai
1 siung bawang putih
6 sachet saus pedas indofood
1 kecap secukupnya
1 sejumput garam","galantin, bawang, bombai, bawang, putih, sachet, saus, pedas, indofood, kecap, sejumput, garam",400,20,20,30,1,"Langkah 1
Iris galantin bulat bulat, goreng hingga krispi
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 1 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 1 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 1 foto
Langkah 2
Iris memanjang bawamg bombai
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 2 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 2 foto
Langkah 3
Cincang bawang putih 1 siung
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 3 foto
Langkah 4
Tumis bawang putih dan bawang bombai
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 4 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 4 foto
Langkah 5
Masukkan saus, tambahkan kecap dan sejumput garam. Sama dicicip biar rasanya mantap. Tambahkan sedikit air
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 5 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 5 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 5 foto
Langkah 6
Masukkan galantin dan aduk-aduk
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 6 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 6 foto
Langkah 7
Yummy jadi deh
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 7 foto
Galantin Saus Pedas Manis | Masakan Simple Ala Anak Kos langkah memasak 7 foto",,0,0,1,0,0,0
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng,"1 bungkus bihun
1 bawang merah
1 bawang putih
1 kecap (secukupnya)
1 Daun seledri
1 wortel kecil","bungkus, bihun, bawang, merah, bawang, putih, kecap, (secukupnya), Daun, seledri, wortel, kecil",300,10,10,40,1,"Langkah 1
Rendam mie pada air yang panas
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 1 foto
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 1 foto
Langkah 2
Cincang wortel memanjang, bawang merah, bawang putih, dan daun seledri
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 2 foto
Langkah 3
Tumis bawang goreng, jika sudah kering sisihkan
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 3 foto
Langkah 4
Tumis wortel dan bawang putih
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 4 foto
Langkah 5
Masukkan mie tambahkan penyedap rasa dan kecap
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 5 foto
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 5 foto
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 5 foto
Langkah 6
Tambahkan seledri
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 6 foto
Langkah 7
Campur
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 7 foto
Langkah 8
Jadi deh. Lumayan banyak jadinya karna mie nya ngembang
Bihun Goreng Kecap Masakan Ala Anak Kos Murah | Sohun Goreng langkah memasak 8 foto",,0,0,1,0,0,0
Orek Tempe Kecap Masakan Ala Anak Kos,"1 tempe
4 cabai kriting
2 siung bawang merah
2 siung bawang putih
1 sachet kecap","tempe, cabai, kriting, bawang, merah, bawang, putih, sachet, kecap",200,10,10,20,1,"Langkah 1
Potong tempe panjang-panjang
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 1 foto
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 1 foto
Langkah 2
Goreng
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 2 foto
Langkah 3
Cincang bawang dan cabai lalu tumis
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 3 foto
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 3 foto
Langkah 4
Masukan tempe yang sudah di goreng. Tambahkan kecap dan masako
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 4 foto
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 4 foto
Langkah 5
Tambahkan sedikit air tunggu hingga bumbu meresap
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 5 foto
Langkah 6
Jadi deh bisa buat 3x makan
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 6 foto
Orek Tempe Kecap Masakan Ala Anak Kos langkah memasak 6 foto",,0,0,1,0,0,0
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos,"1 bungkus jamur
2 sdm saori saus tiram
1 sosis sonice
2 cabe merah
1 sdm kecap manis
2 sdm minyak
1 jumput garam
1 royco secukupnya
1 siung bawang merah
1 siung bawang putih","bungkus, jamur, saori, saus, tiram, sosis, sonice, cabe, merah, kecap, manis, minyak, jumput, garam, royco, bawang, merah, bawang, putih",200,10,10,20,1,"Langkah 1
Cuci bersih jamur dan suir suir
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 1 foto
Langkah 2
Cincang sosis, bawang merah, bawang putih, dan cabai
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 2 foto
Langkah 3
Siapkan kecap dan saus titam
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 3 foto
Langkah 4
Masukkan minyak dan tumis hingga harum
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 4 foto
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 4 foto
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 4 foto
Langkah 5
Masukkan jamur
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 5 foto
Langkah 6
Tambahkan garam, saus tiram, dan kecap secukupnya
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 6 foto
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 6 foto
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 6 foto
Langkah 7
Tumis hingga jamur berair dan tunggu sampai menyusut
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 7 foto
Langkah 8
Jadi deh bisa buat makan pagi, siang, dan malam
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 8 foto
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 8 foto
Tumis Jamur Sosis Saus Tiram Masakan Ala Anak Kos langkah memasak 8 foto",,0,0,1,0,0,0
Mie Goreng Setan ,"1 bungkus mie kuning
1 siung bawang putih
1 siung bawang merah
1/2 sdt garam
Caisim
2 butir bakso
1 sosis virgo kecil
1 sdm kecap
2 sdm saus pedas
2 cabai setan
1 batang daun bawang","bungkus, mie, kuning, bawang, putih, bawang, merah, /, garam, Caisim, bakso, sosis, virgo, kecil, kecap, saus, pedas, cabai, setan, batang, daun, bawang",400,10,15,50,1,"Langkah 1
Rebus mie, kalo udah mateng tiriskan
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 1 foto
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 1 foto
Langkah 2
Uleg bumbu kaya yg di gambar
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 2 foto
Langkah 3
Potong bakso dan sosis. Aku pake sosis virgo di warung
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 3 foto
Langkah 4
Tumis bumbu, masukan bakso dan sosis kemudian di kongsrang kangsreng
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 4 foto
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 4 foto
Langkah 5
Masukan telur kemudian di orak arik
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 5 foto
Langkah 6
Masukan mie, tambahkan kecap dan saus pedas
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 6 foto
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 6 foto
Langkah 7
Masukan caisim dan daun bawang
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 7 foto
Langkah 8
Jadi gais. Wajib coba rasanya endulita
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 8 foto
Masakan Anak Kos - Mie Goreng Setan Akhir Bulan langkah memasak 8 foto",,0,0,1,0,0,0
Ayam kecap,"1/4 kg ayam (saya pakai yang dada/daging)
1 buah jeruk nipis
2 buah bawang merah
2 buah bawang putih
2 lembar daun salam
Sereh sedikit aja
Garam (secukupnya)
Penyedap rasa (sedikit aja/secukupnya)
Kecap manis
Minyak goreng","/, ayam, (saya, pakai, yang, dada/daging), jeruk, nipis, bawang, merah, bawang, putih, daun, salam, Sereh, aja, Garam, (secukupnya), Penyedap, rasa, (sedikit, aja/secukupnya), Kecap, manis, Minyak, goreng",300,20,10,30,1,"Langkah 1
Cuci ayam sampai bersih, lalu rendam dengan air jeruk nipis sekitar 3-4 menit (biar nggak amis), kemudian di cuci kembali. Kalau nggak mau repot, boleh skip rendam pake jeruknya.
Ayam kecap ""masakan anak kos"" langkah memasak 1 foto
Langkah 2
Haluskan bawang merah putih.
Ayam kecap ""masakan anak kos"" langkah memasak 2 foto
Langkah 3
Cuci daun salam dan sereh. Kemudian sereh di geprek.
Ayam kecap ""masakan anak kos"" langkah memasak 3 foto
Ayam kecap ""masakan anak kos"" langkah memasak 3 foto
Langkah 4
Panaskan sedikit minyak. Tumis sebentar bawang yang sudah dihaluskan dan sereh.
Langkah 5
Tambahkan air secukupnya. Masukkan daun salam dan ayam, kemudian tunggu sampai mendidih.
Ayam kecap ""masakan anak kos"" langkah memasak 5 foto
Langkah 6
Kalau sudah mendidih, masukkan garam, penyedap dan kecap secukupnya. Kemudian tunggu sampai ayamnya matang dan airnya berkurang/tinggal sedikit.
Langkah 7
Kalau sudah seperti ini bisa diangkat dan disajikan.
Ayam kecap ""masakan anak kos"" langkah memasak 7 foto",,0,0,1,0,0,0
"Tahu kecap pedas manis
","1 Bawang putih
3 Bawang merah
secukupnya Lengkuas
1 Tomat
Sedikit terasi
Sedikit merica bubuk
secukupnya Gula
secukupnya Garam
Minyak goreng","Bawang, putih, Bawang, merah, Lengkuas, Tomat, terasi, merica, bubuk, Gula, Garam, Minyak, goreng",200,10,10,15,1,"Langkah 1
Cuci bersih bawang putih, bawang merah, cabe rawit dan tomat lalu diiris
Langkah 2
Kupas lengkuas lalu dicuci dan diiris
Langkah 3
Tiriskan tahu yang sudah digoreng setengah matang. Kemudian tempatkan di wadah yang berbeda
Langkah 4
Siapkan tahu kemudian potong dengan ukuran sesuai selera. Goreng tahu hingga setengah matang
Langkah 5
Kemudian siapkan panci. Lalu tambahkan minyak goreng. Tunggu hingga panas
Langkah 6
Masukkan bawang merah, bawang putih, lengkuas, cabe rawit dan terasi. Kemudian ditumis
Langkah 7
Masukkan tahu yang sudah digoreng setengah matang dan tomat. Tambahkan merica bubuk secukupnya dan air sesuai selera
Langkah 8
Masukkan kecap (menyesuaikan selera manisnya masing2 orang), gula dan garam
Langkah 9
Tes rasa dan tunggu hingga mendidih. Siap untuk dihidangkan",,0,0,0,0,0,0
Nasi goreng,"2 siung bawang putih
Sosis 1 bh (optional)
secukupnya Saos tiram
1 butir Telur
secukupnya Garam
Penyedap rasa
secukupnya Nasi
Minyak goreng
Bubuk Cabai","bawang, putih, Sosis, (optional), Saos, tiram, Telur, Garam, Penyedap, rasa, Nasi, Minyak, goreng, Bubuk, Cabai",300,10,10,40,1,"Langkah 1
Kupas bawang, kemudian chop kasar
Langkah 2
Potong sosis kemudian sisihkan
Langkah 3
Panaskan minyak goreng di dalam wajan, masukkan sosis. Goreng hingga matang, sisihkan
Langkah 4
Kemudian masukkan telur kedalam wajan penggorengan, masak orak arik dan sisihkan
Langkah 5
Tumis bawang putih hingga kecoklatan (hati-hati karena gampang gosong)
Langkah 6
Masukkan telur + sosis + nasi ke dalam tumisan bawang putih
Langkah 7
Kongsrang kangsreng kemudian tambahkan saos tiram, garam, penyedap dan juga bubuk Cabai secukupnya. Aduk rata nasi hingga bercampur rata dengan bumbu. Koreksi rasa dan walllaaaa nasgor siap dihidangkan.",,1,0,0,0,0,0
Nasi Uduk,"2 gelas beras
2 bks bumbu nasi uduk kobe
4 butir telur
4 sdm sambal
Sedikit minyak untuk menumis","gelas, beras, bks, bumbu, nasi, uduk, kobe, telur, sambal, minyak, untuk, menumis",200,5,5,30,1,"Langkah 1
Masak beras menggunakan rice cooker, tambahkan 2 bks bumbu nasi uduk kobe. Tunggu hingga matang...
Nasi Uduk kos kosan langkah memasak 1 foto
Nasi Uduk kos kosan langkah memasak 1 foto
Nasi Uduk kos kosan langkah memasak 1 foto
Langkah 2
Tumis 4 sdm sambal, pecahkan 4 butir telur. Orak arik hingga telur matang
Nasi Uduk kos kosan langkah memasak 2 foto
Langkah 3
Setelah nasi dan telur matang. Tata ke dalam piring. Siap disantap...",,1,0,0,0,0,0
Daging teriyaki ,"1/4 kilo daging slice
1/2 buah bawang bombay
2 siung bawang putih
1 sdm saori saus teriyaki
sesuai selera royco sapi
1 sdt gula","/, kilo, daging, slice, /, bawang, bombay, bawang, putih, saori, saus, teriyaki, sesuai, selera, royco, sapi, gula",300,20,10,30,1,"Daging slice di cuci
Langkah 2
Cincang bombay dan bawang putih
Langkah 3
Tumis bombay dan bawang putih, dikasih minyak sedikit
Langkah 4
Masukan daging slice dan tambah air sedikit
Langkah 5
Masukan Royco sapi secukupnya dan gula setengah sendok teh",,0,0,0,0,0,0
Steak Ayam,"donan Ayam
250 gram Fillet dada ayam
1 buah jeruk nipis
1 sdt ketumbar, haluskan
2 siung bawang putih, haluskan
1 sachet tepung serba guna (ayam krispi) & minyakngoreng secukupnya
Sayuran Pelengkap
1 buah wortel (kecil)
1 buah kentang (kecil)
Secukupnya buncis
Saus Steak
Secukupnya saos hot lava volcano
1/2 buah bawang bombay
1 siung bawang putih
Secukupnya saus tiram
Secukupnya lada (putih/hitam bubuk)
Secukupnya gula dan garam
1 sdm tepung maizena, larutkan","donan, Ayam, gram, ayam, jeruk, nipis, ketumbar,, haluskan, bawang, putih,, haluskan, sachet, tepung, serba, guna, (ayam, krispi), &, minyakngoreng, Sayuran, Pelengkap, wortel, (kecil), kentang, (kecil), buncis, Saus, Steak, saos, hot, lava, volcano, /, bawang, bombay, bawang, putih, saus, tiram, lada, (putih/hitam, bubuk), gula, dan, garam, tepung, maizena,, larutkan",300,25,10,20,1,"Langkah 1
Potong ayam menjadi beberapa bagian. Cuci bersih dengan 1/2 bagian jeruk nipis. Marinasi dengan sisa jeruk nipis, bawang putih & ketumbar yg sudah dihaliskan selama 15 menit
Langkah 2
Siapkan tepung serbaguna di 2 wadah. 1 wadah tepung basah. 1 wadah tepung kering.
Langkah 3
Celupkan ayam yg sudah dimarinasi ke wadah 1. kemudian ke wadah 2. Goreng ayam hingga golden brown. Tiriskan.
Langkah 4
Kupas semua bahan sayur pelengkap & potong ukuran sesuai selera.
Langkah 5
Kukus selama 5-10 menit. Tekstur kematangan kondisional. Tiriskan.
Langkah 6
Tumis bawang bombay & bawang putih hingga sedikit kecoklatan. Masukkan semua bahan saos. Cek rasa. Jika sudah mantap masukan larutan maizena.
Langkah 7
Susun ayam, sayur dan saus sesuai selera. Selamat makan sedulurrr!",,0,1,0,0,0,0
Udang tahu sambel,"100 gr Udang
2 buah Tahu
Bumbu
secukupnya Cabai
5 buah bawang merah
2 buah bawang putih
Daun jeruk
Daun bawang
Tomat
Garam
Penyedap rasa","Udang, Tahu, Bumbu, Cabai, bawang, merah, bawang, putih, Daun, jeruk, Daun, bawang, Tomat, Garam, Penyedap, rasa",200,15,10,10,1,"Cuci bersih udang dan potong tahu sesuai selera, + ini aku sekalian masak tumis kangkung
Udang tahu sambel simpel ala anak kost langkah memasak 1 foto
Langkah 2
Setelah itu goreng tahu hingga kecoklatan, untuk udang saya hanya tumis sebentar saja lalu angkat
Udang tahu sambel simpel ala anak kost langkah memasak 2 foto
Udang tahu sambel simpel ala anak kost langkah memasak 2 foto
Langkah 3
Setelah itu masukkan cabai yg sudah halus, dan daun jeruk tunggu hingga wangi lalu masuk kan tomat
Udang tahu sambel simpel ala anak kost langkah memasak 3 foto
Udang tahu sambel simpel ala anak kost langkah memasak 3 foto
Langkah 4
Lalu tambahkan garam dan penyedap rasa, koreksi rasa dan masukkan udang dan tahu
Udang tahu sambel simpel ala anak kost langkah memasak 4 foto
Langkah 5
Setelah diaduk rata dan rasanya sudah sesuai selera tambahkan daun bawang untuk mempercantik hidangan dan jadi deh
Udang tahu sambel simpel ala anak kost langkah memasak 5 foto
Langkah 6
Terakhir saya ada tumis kangkung dengan 1 bawang putih dan merah, cabai 2, sedikit saus tiram
Udang tahu sambel simpel ala anak kost langkah memasak 6 foto
Langkah 7
Selesai deh hidangan ala anak Kost dari labuan bajo, kangkungnya lupa di foto heheh
Udang tahu sambel simpel ala anak kost langkah memasak 7 foto",,0,0,1,0,1,0
Ikan Pindang Saos Tomat,"4 ekor Ikan pindang
Cabe merah,
cabe hijau
bawang merah
Bawang putih,
Tomat hijau
secukupnya Minyak sayur","Ikan, pindang, Cabe, merah,, cabe, hijau, bawang, merah, Bawang, putih,, Tomat, hijau, Minyak, sayur",200,15,10,10,1,"Langkah 1
Cuci bersih ikan pindang (buang tulang dan kepala nya)
Langkah 2
Iris semua bahan (cabe merah, cabe hijau, bawang merah, bawang putih dan tomat hijau)
Langkah 3
Panaskan minyak, selanjutnya goreng ikan pindang sampai berwarna kecoklatan,lalu angkat dan tiriskan, selanjutnya tumis semua bumbu yang sudah diiris,terus masukan ikan pindang, masukkan garam dan gula sedikit tunggu smpai bumbu meresap
Langkah 4
Lalu ikan pindang saos tomat siap dihidangkan dan disantap",,0,0,0,1,0,0
